CODICEIDENTIFICATIVOSITO;LATITUDINE
2960;43,79432992
2961;39,9334429
2962;40,89437018
2963;40,92727975
2964;40,8213042
2965;46,00436919
2965;46,00436919
2969;40,7972776
2971;39,2580933
2972;43,88993797
2973;43,88993797
2974;41,92368092
2975;37,3283387
2976;37,89898605
2977;45,6195895
2978;44,62303283
2979;43,4631153
2980;44,33523868
2981;38,14453513
2981;38,14453513
2981;38,14453513
2982;45,31341136
2983;40,7259269
2984;39,3036969
2985;43,9774954
2987;41,5695378
2988;42,358342
2989;40,8506962
2990;45,4917615
2991;45,5654088
2992;42,96218598
2993;44,2634138
2994;39,2238411
2995;39,00124555
2996;44,68462727
2997;46,09347589
2998;38,96515748
2999;38,96515748
